Name,State,Enrollment
CET-Colton,CA,135.0
CET-Watsonville,CA,90.0
CET-Salinas,CA,156.0
Cerritos College,CA,17437.0
Cerro Coso Community College,CA,3706.0
Chabot College,CA,10067.0
Chaffey College,CA,15267.0
Chapman University,CA,7469.0
Charles R Drew University of Medicine and Science,CA,255.0
Concordia University-Irvine,CA,1580.0
San Diego Christian College,CA,438.0
Church Divinity School of the Pacific,CA,
Citrus College,CA,8260.0
Citrus Heights Beauty College,CA,101.0
City College of San Francisco,CA,16219.0
Claremont Graduate University,CA,
Claremont McKenna College,CA,1414.0
Milan Institute-Visalia,CA,430.0
Clovis Adult Education,CA,340.0
Coastline Community College,CA,5719.0
University of Silicon Valley,CA,420.0
Coba Academy,CA,132.0
Western University of Health Sciences,CA,
Columbia College,CA,1509.0
Columbia College Hollywood,CA,493.0
Compton College,CA,2635.0
Contra Costa College,CA,4429.0
Cosumnes River College,CA,12575.0
Crafton Hills College,CA,4481.0
Cuesta College,CA,6961.0
Cuyamaca College,CA,6473.0
Cypress College,CA,12090.0
De Anza College,CA,14706.0
International School of Beauty Inc,CA,159.0
Dell'Arte International School of Physical Theatre,CA,13.0
College of the Desert,CA,8634.0
Design Institute of San Diego,CA,119.0
Diablo Valley College,CA,15326.0
Dominican University of California,CA,1243.0
Dominican School of Philosophy & Theology,CA,
East Los Angeles College,CA,25649.0
El Camino Community College District,CA,16764.0
Emperor's College of Traditional Oriental Medicine,CA,
Empire College,CA,
Evergreen Valley College,CA,6746.0
FIDM-Fashion Institute of Design & Merchandising,CA,1724.0
Feather River Community College District,CA,1220.0
Federico Beauty Institute,CA,297.0
Fielding Graduate University,CA,
Five Branches University,CA,
Redondo Beach Beauty College,CA,58.0
Foothill College,CA,10593.0
Franciscan School of Theology,CA,
Fredrick and Charles Beauty College,CA,59.0
Fresno City College,CA,15554.0
Fresno Pacific University,CA,2668.0
Fuller Theological Seminary,CA,
Fullerton College,CA,16287.0
Gavilan College,CA,3744.0
Gemological Institute of America-Carlsbad,CA,104.0
Glendale Community College,CA,10107.0
Glendale Career College,CA,305.0
Golden Gate University,CA,679.0
Golden West College,CA,8830.0
Graduate Theological Union,CA,
Grossmont College,CA,11455.0
Salon Success Academy-Riverside,CA,116.0
Hartnell College,CA,8635.0
Harvey Mudd College,CA,905.0
Hilltop Beauty School,CA,99.0
Holy Names University,CA,592.0
Pacifica Graduate Institute,CA,
California State Polytechnic University-Humboldt,CA,5336.0
Humphreys University-Stockton and Modesto Campuses,CA,197.0
Imperial Valley College,CA,6385.0
Institute for Business and Technology,CA,693.0
Interior Designers Institute,CA,110.0
International School of Cosmetology,CA,158.0
Irvine Valley College,CA,9140.0
Bellus Academy-El Cajon,CA,226.0
American Jewish University,CA,22.0
Reedley College,CA,3852.0
Life Pacific University,CA,419.0
University of La Verne,CA,3686.0
Laguna College of Art and Design,CA,735.0
Lake Tahoe Community College,CA,1830.0
Lancaster Beauty School,CA,82.0
Laney College,CA,5722.0
Lassen Community College,CA,1392.0
Latin American Bible Institute,CA,49.0
Life Chiropractic College West,CA,
Lincoln University,CA,168.0
Southern California Seminary,CA,46.0
La Sierra University,CA,1270.0
Loma Linda University,CA,980.0
Long Beach City College,CA,19918.0
Southern California University of Health Sciences,CA,130.0
Los Angeles Harbor College,CA,5487.0
Los Angeles Pierce College,CA,13016.0
Los Angeles Southwest College,CA,3539.0
Los Angeles Trade Technical College,CA,7867.0
Los Angeles Valley College,CA,11201.0
The Master's University and Seminary,CA,1338.0
Los Angeles City College,CA,10494.0
Los Angeles County College of Nursing and Allied Health,CA,180.0
Los Angeles Mission College,CA,6538.0
Los Medanos College,CA,6919.0
Loyola Marymount University,CA,6999.0
Lu Ross Academy,CA,272.0
Lyle's College of Beauty,CA,93.0
Lyle's College of  Beauty,CA,103.0
Lytles Redwood Empire Beauty College,CA,76.0
MTI College,CA,550.0
College of Marin,CA,3584.0
Marymount California University,CA,443.0
Mendocino College,CA,2223.0
Menlo College,CA,743.0
Merced College,CA,7737.0
Merritt College,CA,4798.0
Mills College at Northeastern University,CA,438.0
MiraCosta College,CA,10436.0
Mission College,CA,4950.0
Modern Beauty Academy,CA,81.0
Modesto Junior College,CA,12949.0
Moler Barber College,CA,346.0
Middlebury Institute of International Studies at Monterey,CA,13.0
Monterey Peninsula College,CA,5706.0
Moorpark College,CA,11336.0
Mt San Antonio College,CA,22907.0
Mount Saint Mary's University,CA,1898.0
Mt San Jacinto Community College District,CA,12452.0
Musicians Institute,CA,744.0
Napa Valley College,CA,3777.0
National Holistic Institute,CA,1201.0
National University,CA,7160.0
Naval Postgraduate School,CA,
Newschool of Architecture and Design,CA,301.0
North Adrian's College of Beauty Inc,CA,221.0
North-West College-Pomona,CA,190.0
North-West College-West Covina,CA,384.0
North-West College-Van Nuys,CA,171.0
San Francisco Bay University,CA,6.0
Notre Dame de Namur University,CA,0.0
Occidental College,CA,1952.0
Ohlone College,CA,6929.0
Orange Coast College,CA,15761.0
Otis College of Art and Design,CA,1191.0
Oxnard College,CA,5789.0
Hope International University,CA,619.0
Concorde Career College-San Diego,CA,735.0
Palo Alto University,CA,64.0
Pacific Oaks College,CA,479.0
Pacific School of Religion,CA,
Pacific States University,CA,2.0
Pacific Union College,CA,799.0
University of the Pacific,CA,3269.0
Palo Verde College,CA,3734.0
Palomar College,CA,13873.0
Pasadena City College,CA,19090.0
Pepperdine University,CA,3706.0
Pitzer College,CA,1168.0
Platt College-San Diego,CA,64.0
Point Loma Nazarene University,CA,3170.0
Pomona College,CA,1747.0
Porterville College,CA,2725.0
Professional Institute of Beauty,CA,137.0
Santa Ana College,CA,20846.0
Pardee RAND Graduate School,CA,
Shasta School of Cosmetology,CA,116.0
University of Redlands,CA,2596.0
College of the Redwoods,CA,2947.0
Salon Success Academy-Upland,CA,194.0
Salon Success Academy-Corona,CA,187.0
Rio Hondo College,CA,13960.0
Riverside City College,CA,15516.0
Dongguk University Los Angeles,CA,2.0
Sacramento City College,CA,16654.0
Saddleback College,CA,15431.0
Samuel Merritt University,CA,677.0
San Diego City College,CA,10852.0
San Diego Mesa College,CA,15217.0
San Diego Miramar College,CA,10881.0
San Diego State University,CA,30991.0
University of San Diego,CA,5601.0
San Francisco Art Institute,CA,26.0
San Francisco Conservatory of Music,CA,228.0
San Francisco State University,CA,22563.0
University of San Francisco,CA,5937.0
San Joaquin College of Law,CA,
San Joaquin Delta College,CA,13242.0
San Joaquin Valley College-Visalia,CA,2124.0
San Joaquin Valley College-Bakersfield,CA,788.0
William Jessup University,CA,1195.0
San Jose City College,CA,6076.0
San Jose State University,CA,28190.0
College of San Mateo,CA,5553.0
Santa Barbara Business College-Bakersfield,CA,9.0
Santa Barbara City College,CA,10570.0
Santa Clara University,CA,5887.0
Santa Monica College,CA,21482.0
Santa Rosa Junior College,CA,12916.0
Saybrook University,CA,
Scripps College,CA,1091.0
College of the Sequoias,CA,9546.0
Shasta Bible College and Graduate School,CA,29.0
Shasta College,CA,5079.0
Sierra College,CA,12847.0
Sierra College of Beauty,CA,122.0
Trinity Law School,CA,
Simpson University,CA,805.0
College of the Siskiyous,CA,1049.0
Charles A Jones Career and Education Center,CA,163.0
Skyline College,CA,5664.0
San Bernardino Valley College,CA,8578.0
Saint Mary's College of California,CA,2190.0
Solano Community College,CA,6942.0
Sonoma State University,CA,6560.0
South Baylo University,CA,
South Coast College,CA,272.0
Vanguard University of Southern California,CA,1972.0
Concorde Career College-Garden Grove,CA,734.0
Southwestern College,CA,14285.0
Starr King School for the Ministry,CA,
Marshall B Ketchum University,CA,
Southern California Institute of Architecture,CA,252.0
University of Southern California,CA,20619.0
Southwestern Law School,CA,
Taft College,CA,3208.0
Claremont School of Theology,CA,
Thomas Aquinas College,CA,497.0
Epic Bible College & Graduate School,CA,88.0
UEI College-Huntington Park,CA,1108.0
Concorde Career College-San Bernardino,CA,744.0
Concorde Career College-North Hollywood,CA,714.0
Ventura College,CA,9808.0
The Colleges of Law at Ventura,CA,
Bridges Beauty College,CA,94.0
Victor Valley College,CA,9814.0
Berkeley City College,CA,4067.0
Walden University,MN,7086.0
Waynes College of Beauty,CA,55.0
West Hills College-Coalinga,CA,1999.0
West Los Angeles College,CA,7921.0
West Valley College,CA,5779.0
Carrington College-Sacramento,CA,1606.0
Westminster Theological Seminary in California,CA,
Westmont College,CA,1238.0
Whittier College,CA,1321.0
Woodbury University,CA,937.0
The Wright Institute,CA,
Thomas Jefferson School of Law,CA,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,142.0
Yuba College,CA,4153.0
The Salon Professional Academy-Grand Junction,CO,53.0
Adams State University,CO,1484.0
Aims Community College,CO,3392.0
Arapahoe Community College,CO,5274.0
Bel-Rea Institute of Animal Technology,CO,217.0
University of Colorado Denver/Anschutz Medical Campus,CO,11042.0
University of Colorado Colorado Springs,CO,9634.0
Spartan College of Aeronautics and Technology,CO,316.0
University of Colorado Boulder,CO,30414.0
Colorado Christian University,CO,4995.0
Colorado College,CO,2235.0
Concorde Career College-Aurora,CO,781.0
Colorado Mountain College,CO,2740.0
Colorado Northwestern Community College,CO,562.0
Colorado School of Mines,CO,5440.0
Colorado School of Trades,CO,149.0
Colorado State University-Fort Collins,CO,24344.0
Colorado Technical University-Colorado Springs,CO,21009.0
Community College of Aurora,CO,3613.0
Technical College of the Rockies,CO,120.0
Community College of Denver,CO,5050.0
Lincoln College of Technology-Denver,CO,1551.0
Denver Seminary,CO,
University of Denver,CO,5771.0
Emily Griffith Technical College,CO,5086.0
Fort Lewis College,CO,3260.0
Front Range Community College,CO,11436.0
Iliff School of Theology,CO,
International Salon and Spa Academy,CO,228.0
Lamar Community College,CO,408.0
Colorado Mesa University,CO,7904.0
Metropolitan State University of Denver,CO,15625.0
Morgan Community College,CO,614.0
Naropa University,CO,317.0
Nazarene Bible College,CO,347.0
Northeastern Junior College,CO,918.0
University of Northern Colorado,CO,6683.0
Otero College,CO,754.0
Pikes Peak State College,CO,9213.0
Pueblo Community College,CO,3291.0
Red Rocks Community College,CO,4249.0
Regis University,CO,2616.0
Rocky Mountain College of Art and Design,CO,1832.0
Montessori Education Center of the Rockies,CO,5.0
Colorado State University Pueblo,CO,3092.0
Pickens Technical College,CO,609.0
Intellitec College-Colorado Springs,CO,672.0
Intellitec College-Grand Junction,CO,787.0
Trinidad State College,CO,1014.0
United States Air Force Academy,CO,4181.0
Empire Beauty School-Thornton,CO,84.0
Western Colorado University,CO,1722.0
Albertus Magnus College,CT,1023.0
Asnuntuck Community College,CT,953.0
Bais Binyomin Academy,NY,40.0
University of Bridgeport,CT,1733.0
Central Connecticut State University,CT,7616.0
Charter Oak State College,CT,1472.0
Cortiva Institute,CT,158.0
Connecticut College,CT,1811.0
Porter & Chester Institute of Hamden,CT,318.0
University of Connecticut,CT,18362.0
Goodwin University,CT,2901.0
Lincoln Technical Institute-East Windsor,CT,1170.0
Eastern Connecticut State University,CT,3767.0
Fairfield University,CT,4548.0
Paul Mitchell the School-North Haven,CT,180.0
Capital Community College,CT,2199.0
Rensselaer at Hartford,CT,
American Institute-West Hartford,CT,406.0
Hartford International University for Religion and Peace,CT,
University of Hartford,CT,3915.0
Holy Apostles College and Seminary,CT,216.0
Housatonic Community College,CT,3167.0
Manchester Community College,CT,3985.0
Naugatuck Valley Community College,CT,4297.0
Middlesex Community College,CT,1748.0
Mitchell College,CT,508.0
Three Rivers Community College,CT,2809.0
Lincoln Technical Institute-New Britain,CT,568.0
New England Tractor Trailer Training School of Connecticut,CT,323.0
University of New Haven,CT,4970.0
Norwalk Community College,CT,3557.0
Northwestern Connecticut Community College,CT,976.0
Paier College,CT,171.0
Porter & Chester Institute,CT,1633.0
Post University,CT,12798.0
Quinebaug Valley Community College,CT,975.0
Quinnipiac University,CT,6243.0
Sacred Heart University,CT,6699.0
University of Saint Joseph,CT,895.0
Gateway Community College,CT,5194.0
Southern Connecticut State University,CT,6584.0
Stone Academy-West Haven,CT,566.0
Trinity College,CT,2143.0
Tunxis Community College,CT,3019.0
United States Coast Guard Academy,CT,1049.0
Wesleyan University,CT,3250.0
Western Connecticut State University,CT,4028.0
Yale University,CT,6535.0
Margaret H Rollins School of Nursing at Beebe Medical Center,DE,67.0
Dawn Career Institute LLC,DE,251.0
Delaware Technical Community College-Terry,DE,10837.0
Delaware State University,DE,4179.0
University of Delaware,DE,18707.0
Goldey-Beacom College,DE,667.0
Schilling-Douglas School of Hair Design LLC,DE,144.0
Wilmington University,DE,7626.0
American University,DC,8158.0
The Catholic University of America,DC,2891.0
University of the District of Columbia,DC,2810.0
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC,
Gallaudet University,DC,998.0
George Washington University,DC,10929.0
Georgetown University,DC,7395.0
Howard University,DC,8902.0
Strayer University-District of Columbia,DC,368.0
National Conservatory of Dramatic Arts,DC,27.0
Trinity Washington University,DC,1383.0
Wesley Theological Seminary,DC,
Atlantic Technical College,FL,2543.0
The Baptist College of Florida,FL,252.0
Barry University,FL,2932.0
Bethune-Cookman University,FL,2513.0
Lynn University,FL,2632.0
North Florida Technical College,FL,51.0
Eastern Florida State College,FL,9855.0
Broward College,FL,25570.0
Albizu University-Miami,FL,178.0
College of Central Florida,FL,4334.0
Johnson University Florida,FL,148.0
University of Central Florida,FL,59710.0
Charlotte Technical College,FL,244.0
Chipola College,FL,1248.0
Lorenzo Walker Technical College,FL,740.0
Daytona State College,FL,9190.0
South University-West Palm Beach,FL,359.0
Eckerd College,FL,2026.0
Florida SouthWestern State College,FL,11309.0
Edward Waters University,FL,1079.0
Embry-Riddle Aeronautical University-Daytona Beach,FL,6899.0
Florida Agricultural and Mechanical University,FL,7005.0
Florida Atlantic University,FL,23695.0
Florida State College at Jacksonville,FL,17329.0
Flagler College,FL,2631.0
Florida College,FL,528.0
Concorde Career Institute-Jacksonville,FL,678.0
Concorde Career Institute-Miramar,FL,349.0
Concorde Career Institute-Tampa,FL,438.0
AdventHealth University,FL,1058.0
Florida Institute of Technology,FL,3219.0
Florida Institute of Ultrasound Inc,FL,53.0
Florida International University,FL,39936.0
The College of the Florida Keys,FL,832.0
Florida Memorial University,FL,945.0
Florida Career College-Miami,FL,353.0
Florida School of Massage,FL,26.0
Florida Southern College,FL,2741.0
Florida State University,FL,33368.0
University of Florida,FL,34044.0
Fort Pierce Beauty Academy,FL,29.0
Full Sail University,FL,24172.0
George Stone Technical College,FL,603.0
George T Baker Aviation Technical College,FL,890.0
Gulf Coast State College,FL,3422.0
Key College,FL,23.0
Hillsborough Community College,FL,19166.0
Hobe Sound Bible College,FL,157.0
Hollywood Institute of Beauty Careers,FL,324.0
Cortiva Institute,FL,115.0
Indian River State College,FL,10886.0
International Academy,FL,186.0
AI Miami International University of Art and Design,FL,857.0
Jacksonville University,FL,2627.0
Keiser University-Ft Lauderdale,FL,17516.0
La Belle Beauty School,FL,223.0
Florida Gateway College,FL,2065.0
Lake Technical College,FL,660.0
Lake-Sumter State College,FL,3080.0
Fort Myers Technical College,FL,704.0
Lively Technical College,FL,881.0
Lindsey Hopkins Technical College,FL,619.0
Loraines Academy & Spa,FL,85.0
Luther Rice College & Seminary,GA,201.0
State College of Florida-Manatee-Sarasota,FL,7200.0
Manatee Technical College,FL,1044.0
Traviss Technical College,FL,253.0
Merryfield School of Pet Grooming,FL,83.0
Trinity International University-Florida,FL,80.0
Miami Lakes Educational Center and Technical College,FL,896.0
Miami Dade College,FL,39727.0
University of Miami,FL,11928.0
Orange Technical College-Mid Florida Campus,FL,944.0
Paul Mitchell the School-Jacksonville,FL,134.0
North Florida College,FL,807.0
University of North Florida,FL,13862.0
Nova Southeastern University,FL,6578.0
Northwest Florida State College,FL,3154.0
Orange Technical College,FL,139.0
Palm Beach Atlantic University,FL,2274.0
Palm Beach State College,FL,20631.0
Pasco-Hernando State College,FL,7018.0
Pensacola State College,FL,6792.0
Pinellas Technical College-Clearwater,FL,644.0
Polk State College,FL,6946.0
Radford M Locklin Technical College,FL,177.0
Saint Vincent de Paul Regional Seminary,FL,
Ridge Technical College,FL,335.0
Ringling College of Art and Design,FL,1661.0
Robert Morgan Educational Center and Technical College,FL,435.0
Rollins College,FL,2501.0
First Coast Technical College,FL,379.0
Saint Leo University,FL,6456.0
St Petersburg College,FL,20107.0
Pinellas Technical College-St. Petersburg,FL,655.0
Santa Fe College,FL,11219.0
Suncoast Technical College,FL,1489.0
Seminole State College of Florida,FL,12983.0
Sheridan Technical College,FL,1296.0
St. John Vianney College Seminary,FL,37.0
Saint Johns River State College,FL,3818.0
South Florida State College,FL,2035.0
University of South Florida,FL,36681.0
St. Thomas University,FL,1797.0
Stetson University,FL,2826.0
Southeastern University,FL,5296.0
Bene's Career Academy,FL,278.0
Riveroak Technical College,FL,199.0
Tallahassee Community College,FL,10653.0
Talmudic College of Florida,FL,30.0
Altierus Career College-Tampa,FL,511.0
The University of Tampa,FL,9838.0
Big Bend Technical College,FL,107.0
Tom P. Haney Technical College,FL,329.0
Trinity Baptist College,FL,341.0
Trinity College of Florida,FL,199.0
Valencia College,FL,36131.0
Warner University,FL,762.0
Florida Panhandle Technical College,FL,347.0
Webber International University,FL,775.0
Rasmussen University-Florida,FL,8333.0
The University of West Florida,FL,8881.0
Orange Technical College-Westside Campus,FL,515.0
William T McFatter Technical College,FL,624.0
Orange Technical College-East Campus,FL,358.0
Withlacoochee Technical College,FL,384.0
Abraham Baldwin Agricultural College,GA,3323.0
Agnes Scott College,GA,1013.0
Interactive College of Technology-Chamblee,GA,702.0
Interactive College of Technology-Morrow,GA,65.0
Albany Technical College,GA,2063.0
Albany State University,GA,5576.0
Andrew College,GA,266.0
The Art Institute of Atlanta,GA,580.0
Georgia Career Institute,GA,577.0
Atlanta Technical College,GA,3188.0
Point University,GA,794.0
Atlanta Metropolitan State College,GA,1467.0
Atlanta's John Marshall Law School,GA,
Atlanta School of Massage,GA,396.0
Clark Atlanta University,GA,3376.0
Augusta Technical College,GA,3316.0
Berry College,GA,2170.0
Beulah Heights University,GA,181.0
Brenau University,GA,1310.0
Brewton-Parker College,GA,597.0
College of Coastal Georgia,GA,2750.0
West Georgia Technical College,GA,4889.0
Clayton  State University,GA,5170.0
Columbia Theological Seminary,GA,
Columbus Technical College,GA,2563.0
Columbus State University,GA,5986.0
Georgia Northwestern Technical College,GA,4229.0
Covenant College,GA,840.0
Dalton State College,GA,4169.0
Pro Way Hair School,GA,113.0
South University-Savannah,GA,239.0
East Georgia State College,GA,1682.0
Emmanuel College,GA,786.0
Emory University,GA,7050.0
Georgia Highlands College,GA,4691.0
Fort Valley State University,GA,2635.0
Grady Health System Professional Schools,GA,67.0
Georgia Institute of Technology-Main Campus,GA,16566.0
Georgia Southwestern State University,GA,2018.0
Georgia College & State University,GA,5489.0
Georgia Southern University,GA,22404.0
Georgia State University,GA,28415.0
University of Georgia,GA,30032.0
Gordon State College,GA,2546.0
Southern Crescent Technical College,GA,4124.0
Gupton Jones College of Funeral Service,GA,297.0
Gwinnett College-Lilburn,GA,172.0
Gwinnett Technical College,GA,6683.0
Interdenominational Theological Center,GA,
LaGrange College,GA,580.0
Lanier Technical College,GA,3792.0
Life University,GA,908.0
Chattahoochee Technical College,GA,7592.0
Herzing University-Atlanta,GA,571.0
